entry_time,exit_time,entry_price,sl_price,exit_price,exit_reason,r_multiple
2017-08-18T12:30:00+00:00,2017-08-18T13:00:00+00:00,4340.3,4276.89,4276.89,SL,-1.0
2017-08-22T19:00:00+00:00,2017-08-22T20:00:00+00:00,4071.22,3934.12,3953.13,H1_EMA100,-0.8613
2017-08-26T22:30:00+00:00,2017-08-28T04:00:00+00:00,4330.0,4230.02,4230.02,SL,-1.0
2017-08-28T17:30:00+00:00,2017-09-02T06:00:00+00:00,4364.81,4273.59,4683.66,H1_EMA100,3.4954
2017-09-05T14:00:00+00:00,2017-09-05T15:00:00+00:00,4267.23,4050.0,4202.65,H1_EMA100,-0.2973
2017-09-10T20:00:00+00:00,2017-09-10T21:00:00+00:00,4269.36,4072.45,4204.46,H1_EMA100,-0.3296
2017-09-15T16:30:00+00:00,2017-09-15T17:00:00+00:00,3695.0,3608.05,3590.0,SL,-1.2076
2017-09-17T17:00:00+00:00,2017-09-21T01:00:00+00:00,3700.0,3535.01,3857.72,H1_EMA100,0.9559
2017-09-23T06:30:00+00:00,2017-09-23T07:00:00+00:00,3717.1,3666.67,3687.37,H1_EMA100,-0.5895
2017-09-25T03:30:00+00:00,2017-09-29T03:00:00+00:00,3747.94,3655.0,4047.43,H1_EMA100,3.2224
2017-09-29T13:00:00+00:00,2017-09-29T13:30:00+00:00,4247.11,4180.53,4180.53,SL,-1.0
2017-10-01T20:00:00+00:00,2017-10-03T05:30:00+00:00,4307.0,4300.0,4300.0,SL,-1.0
2017-10-04T06:30:00+00:00,2017-10-04T08:00:00+00:00,4371.99,4281.01,4281.01,SL,-1.0
2017-10-05T13:00:00+00:00,2017-10-15T12:00:00+00:00,4309.14,4226.05,5480.1,H1_EMA100,14.0927
2017-10-16T01:30:00+00:00,2017-10-17T13:00:00+00:00,5696.09,5508.61,5580.01,H1_EMA100,-0.6192
2017-10-19T00:00:00+00:00,2017-10-19T00:30:00+00:00,5513.0,5490.26,5490.26,SL,-1.0
2017-10-23T02:00:00+00:00,2017-10-23T03:00:00+00:00,6000.02,5940.0,5940.0,SL,-1.0
2017-10-25T22:00:00+00:00,2017-10-25T23:00:00+00:00,5615.03,5497.01,5687.98,H1_EMA100,0.6181
2017-10-29T07:30:00+00:00,2017-11-06T17:00:00+00:00,5790.02,5648.01,7100.01,H1_EMA100,9.2246
2017-11-08T02:30:00+00:00,2017-11-08T18:30:00+00:00,7259.99,7052.11,7052.11,SL,-1.0
2017-11-09T02:30:00+00:00,2017-11-09T08:30:00+00:00,7375.55,7130.01,7130.01,SL,-1.0
2017-11-10T05:00:00+00:00,2017-11-10T05:30:00+00:00,7259.9,7191.64,7191.64,SL,-1.0
2017-11-13T07:30:00+00:00,2017-11-13T08:00:00+00:00,6189.26,5944.99,6208.0,H1_EMA100,0.0767
2017-11-18T13:00:00+00:00,2017-11-18T13:30:00+00:00,7704.01,7660.01,7660.01,SL,-1.0
2017-11-18T18:30:00+00:00,2017-11-24T00:00:00+00:00,7750.02,7603.0,8012.43,H1_EMA100,1.7849
2017-11-24T08:00:00+00:00,2017-11-24T09:00:00+00:00,8262.02,8002.02,8002.02,SL,-1.0
2017-11-24T19:00:00+00:00,2017-11-25T02:00:00+00:00,8162.16,8111.0,8111.0,SL,-1.0
2017-11-30T05:00:00+00:00,2017-11-30T05:30:00+00:00,10447.53,10201.0,10201.0,SL,-1.0
2017-12-04T22:30:00+00:00,2017-12-09T17:00:00+00:00,11449.92,11305.2,13522.47,H1_EMA100,14.3211
2017-12-10T15:30:00+00:00,2017-12-13T03:00:00+00:00,15347.85,13357.98,15300.0,H1_EMA100,-0.024
2017-12-14T12:00:00+00:00,2017-12-14T15:00:00+00:00,16098.95,15840.43,15840.43,SL,-1.0
2017-12-18T13:30:00+00:00,2017-12-18T14:00:00+00:00,19161.0,18510.05,18510.05,SL,-1.0
2017-12-25T05:30:00+00:00,2017-12-25T06:00:00+00:00,13406.74,12708.0,13581.7,H1_EMA100,0.2504
2017-12-29T04:00:00+00:00,2017-12-29T08:00:00+00:00,14715.49,14008.0,14510.0,H1_EMA100,-0.2904
2017-12-29T16:00:00+00:00,2017-12-29T21:00:00+00:00,14557.52,14204.99,14204.99,SL,-1.0
2017-12-31T15:00:00+00:00,2017-12-31T16:00:00+00:00,13328.28,12949.98,13660.0,H1_EMA100,0.8769
2018-01-02T00:00:00+00:00,2018-01-02T03:00:00+00:00,13382.16,13355.01,13355.01,SL,-1.0
2018-01-02T10:30:00+00:00,2018-01-02T12:00:00+00:00,13520.01,13302.59,13566.28,H1_EMA100,0.2128
2018-01-04T20:30:00+00:00,2018-01-04T22:00:00+00:00,15000.99,14720.05,14720.05,SL,-1.0
2018-01-12T11:00:00+00:00,2018-01-12T12:00:00+00:00,13940.0,13301.99,13886.95,H1_EMA100,-0.0831
2018-01-12T21:00:00+00:00,2018-01-12T22:00:00+00:00,13880.01,13350.0,13620.0,H1_EMA100,-0.4906
2018-01-15T12:00:00+00:00,2018-01-15T18:00:00+00:00,13645.0,13147.79,13853.56,H1_EMA100,0.4195
2018-01-18T01:00:00+00:00,2018-01-18T02:00:00+00:00,11159.0,10650.0,11525.0,H1_EMA100,0.7191
2018-01-23T18:00:00+00:00,2018-01-23T19:00:00+00:00,11129.62,10016.87,11090.0,H1_EMA100,-0.0356
2018-01-24T07:30:00+00:00,2018-01-24T08:00:00+00:00,10932.85,10620.27,10915.0,H1_EMA100,-0.0571
2018-01-26T01:00:00+00:00,2018-01-26T07:30:00+00:00,11370.89,11111.0,11111.0,SL,-1.0
