trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
1,EMS-base,2017-08-28 19:30:00+0200,2017-09-02 08:00:00+0200,108.5,Long,TP,1.19,4364.81,4273.59,4473.35,91.22,2.0899,H1_EMA100
2,EMS-base,2017-09-05 16:00:00+0200,2017-09-05 17:00:00+0200,1.0,Long,SL,-0.18,4267.23,4050.0,4229.0,217.23,5.0907,H1_EMA100
3,EMS-base,2017-09-10 22:00:00+0200,2017-09-11 00:00:00+0200,2.0,Long,SL,-0.37,4269.36,4072.45,4196.2,196.91,4.6122,H1_EMA100
4,EMS-base,2017-09-15 18:30:00+0200,2017-09-15 19:00:00+0200,0.5,Long,SL,-1.0,3695.0,3608.05,3608.05,86.95,2.3532,STRUCTURAL_SL
5,EMS-base,2017-09-17 19:00:00+0200,2017-09-19 22:00:00+0200,51.0,Long,TP,1.15,3700.0,3535.01,3890.01,164.99,4.4592,H1_EMA100
6,EMS-base,2017-09-20 14:30:00+0200,2017-09-21 02:00:00+0200,11.5,Long,SL,-0.57,3954.16,3859.31,3900.0,94.85,2.3987,H1_EMA100
7,EMS-base,2017-09-23 08:30:00+0200,2017-09-24 06:30:00+0200,22.0,Long,SL,-1.0,3717.1,3666.67,3666.67,50.43,1.3567,STRUCTURAL_SL
8,EMS-base,2017-09-25 05:30:00+0200,2017-09-29 05:00:00+0200,95.5,Long,TP,2.8,3747.94,3655.0,4008.01,92.94,2.4798,H1_EMA100
9,EMS-base,2017-09-29 15:00:00+0200,2017-09-29 15:30:00+0200,0.5,Long,SL,-1.0,4247.11,4180.53,4180.53,66.58,1.5677,STRUCTURAL_SL
10,EMS-base,2017-10-01 22:00:00+0200,2017-10-03 07:30:00+0200,33.5,Long,SL,-1.0,4307.0,4300.0,4300.0,7.0,0.1625,STRUCTURAL_SL
11,EMS-base,2017-10-04 08:30:00+0200,2017-10-04 10:00:00+0200,1.5,Long,SL,-0.68,4371.99,4281.01,4310.01,90.98,2.081,H1_EMA100
12,EMS-base,2017-10-05 15:00:00+0200,2017-10-07 10:00:00+0200,43.0,Long,TP,0.3,4309.14,4226.05,4334.0,83.09,1.9282,H1_EMA100
13,EMS-base,2017-10-08 00:30:00+0200,2017-10-11 07:00:00+0200,78.5,Long,TP,6.44,4392.0,4337.05,4746.0,54.95,1.2511,H1_EMA100
