entry_time,exit_time,exit_reason,r_multiple
2017-07-30T16:30:00+00:00,2017-07-31T05:00:00+00:00,H1_EMA100,0.2452
2017-08-03T09:30:00+00:00,2017-08-09T15:00:00+00:00,H1_EMA100,15.3334
2017-08-10T07:00:00+00:00,2017-08-15T14:00:00+00:00,H1_EMA100,18.254
2017-08-16T15:30:00+00:00,2017-08-18T18:00:00+00:00,H1_EMA100,-0.6477
2017-08-20T09:00:00+00:00,2017-08-20T10:00:00+00:00,H1_EMA100,-0.0694
2017-08-22T18:30:00+00:00,2017-08-28T04:00:00+00:00,H1_EMA100,0.361
2017-08-28T17:30:00+00:00,2017-09-02T06:00:00+00:00,H1_EMA100,7.6789
2017-09-10T20:30:00+00:00,2017-09-10T21:00:00+00:00,SL,-1.0
2017-09-11T16:00:00+00:00,2017-09-11T17:00:00+00:00,H1_EMA100,0.0593
2017-09-15T17:00:00+00:00,2017-09-15T17:30:00+00:00,SL,-1.1256
2017-09-16T19:00:00+00:00,2017-09-16T20:00:00+00:00,H1_EMA100,-0.0776
2017-09-17T16:30:00+00:00,2017-09-17T21:00:00+00:00,H1_EMA100,-0.2799
2017-09-20T14:30:00+00:00,2017-09-20T23:30:00+00:00,SL,-1.0
2017-09-23T06:30:00+00:00,2017-09-23T07:00:00+00:00,H1_EMA100,-0.4226
2017-09-25T03:30:00+00:00,2017-10-03T08:00:00+00:00,H1_EMA100,6.5741
2017-10-04T08:00:00+00:00,2017-10-04T08:30:00+00:00,SL,-5.4092
2017-10-05T13:30:00+00:00,2017-10-15T12:00:00+00:00,H1_EMA100,16.373
2017-10-16T01:30:00+00:00,2017-10-16T02:00:00+00:00,SL,-1.0
2017-10-17T09:30:00+00:00,2017-10-17T10:30:00+00:00,SL,-1.0
2017-10-18T23:30:00+00:00,2017-10-22T05:00:00+00:00,H1_EMA100,3.3826
2017-10-23T02:00:00+00:00,2017-10-23T05:30:00+00:00,SL,-1.0
2017-10-25T21:30:00+00:00,2017-10-25T22:00:00+00:00,H1_EMA100,-0.2465
2017-10-29T06:30:00+00:00,2017-11-06T17:00:00+00:00,H1_EMA100,41.1448
2017-11-08T02:30:00+00:00,2017-11-08T18:30:00+00:00,SL,-1.0
2017-11-13T09:00:00+00:00,2017-11-13T10:00:00+00:00,H1_EMA100,1.3709
2017-11-18T11:00:00+00:00,2017-11-24T00:00:00+00:00,H1_EMA100,2.3109
2017-11-24T09:00:00+00:00,2017-11-25T01:30:00+00:00,SL,-1.0
2017-11-25T08:00:00+00:00,2017-11-29T20:00:00+00:00,H1_EMA100,15.4095
2017-11-30T05:00:00+00:00,2017-11-30T05:30:00+00:00,SL,-1.0
2017-12-01T12:30:00+00:00,2017-12-09T17:00:00+00:00,H1_EMA100,6.3944
2017-12-10T16:00:00+00:00,2017-12-10T22:00:00+00:00,H1_EMA100,-0.323
2017-12-13T13:30:00+00:00,2017-12-13T17:00:00+00:00,SL,-1.0
2017-12-14T12:30:00+00:00,2017-12-14T14:00:00+00:00,SL,-1.0
2017-12-14T18:30:00+00:00,2017-12-14T19:00:00+00:00,SL,-1.3262
2017-12-15T00:30:00+00:00,2017-12-19T11:00:00+00:00,H1_EMA100,2.9435
2017-12-23T04:00:00+00:00,2017-12-23T05:00:00+00:00,SL,-1.0
2017-12-29T04:00:00+00:00,2017-12-29T08:00:00+00:00,H1_EMA100,-0.4045
2017-12-29T17:00:00+00:00,2017-12-29T18:00:00+00:00,H1_EMA100,-0.4309
2018-01-02T10:30:00+00:00,2018-01-02T12:00:00+00:00,H1_EMA100,0.028
2018-01-04T21:00:00+00:00,2018-01-07T18:00:00+00:00,H1_EMA100,11.3534
2018-01-12T11:30:00+00:00,2018-01-12T12:00:00+00:00,H1_EMA100,-0.0821
2018-01-15T11:00:00+00:00,2018-01-15T12:00:00+00:00,H1_EMA100,-0.1226
2018-01-18T02:00:00+00:00,2018-01-18T03:00:00+00:00,H1_EMA100,0.1719
2018-01-20T02:00:00+00:00,2018-01-20T03:00:00+00:00,H1_EMA100,0.2692
2018-01-23T18:30:00+00:00,2018-01-23T19:00:00+00:00,H1_EMA100,-0.0554
2018-01-24T08:00:00+00:00,2018-01-24T09:00:00+00:00,H1_EMA100,-0.2167
2018-01-26T01:30:00+00:00,2018-01-26T07:30:00+00:00,SL,-1.0
2018-01-27T03:30:00+00:00,2018-01-27T04:00:00+00:00,H1_EMA100,-0.0601
2018-02-09T12:00:00+00:00,2018-02-10T17:00:00+00:00,H1_EMA100,1.4767
2018-02-12T03:00:00+00:00,2018-02-13T10:00:00+00:00,H1_EMA100,-0.2848
2018-02-13T21:30:00+00:00,2018-02-13T22:00:00+00:00,SL,-1.0
2018-02-14T03:00:00+00:00,2018-02-21T05:00:00+00:00,H1_EMA100,10.6516
2018-02-26T03:00:00+00:00,2018-02-26T04:00:00+00:00,H1_EMA100,-0.6515
2018-02-26T13:00:00+00:00,2018-03-01T00:00:00+00:00,H1_EMA100,1.7158
2018-03-01T10:30:00+00:00,2018-03-06T11:00:00+00:00,H1_EMA100,1.5985
2018-03-10T01:30:00+00:00,2018-03-10T02:00:00+00:00,H1_EMA100,-0.5489
2018-03-11T14:30:00+00:00,2018-03-11T15:00:00+00:00,H1_EMA100,-0.5286
2018-03-14T02:00:00+00:00,2018-03-14T03:00:00+00:00,H1_EMA100,-0.1478
2018-03-18T23:30:00+00:00,2018-03-22T12:00:00+00:00,H1_EMA100,0.6916
2018-03-23T21:00:00+00:00,2018-03-24T22:00:00+00:00,H1_EMA100,1.2189
2018-03-28T11:30:00+00:00,2018-03-28T12:00:00+00:00,H1_EMA100,-0.2471
2018-04-02T01:30:00+00:00,2018-04-02T02:00:00+00:00,H1_EMA100,-0.1456
2018-04-07T02:30:00+00:00,2018-04-07T03:00:00+00:00,H1_EMA100,-0.0836
2018-04-10T18:00:00+00:00,2018-04-10T19:00:00+00:00,H1_EMA100,-0.3458
2018-04-12T11:30:00+00:00,2018-04-17T19:00:00+00:00,H1_EMA100,0.2895
2018-04-18T09:30:00+00:00,2018-04-18T15:00:00+00:00,H1_EMA100,-0.4782
2018-04-23T04:00:00+00:00,2018-04-23T04:30:00+00:00,SL,-1.0
2018-04-23T07:00:00+00:00,2018-04-23T19:30:00+00:00,SL,-1.0
2018-04-26T22:00:00+00:00,2018-04-27T21:00:00+00:00,H1_EMA100,-0.409
2018-04-28T09:30:00+00:00,2018-04-30T08:00:00+00:00,H1_EMA100,-0.6432
2018-05-02T07:00:00+00:00,2018-05-02T09:00:00+00:00,H1_EMA100,-0.2519
2018-05-09T14:00:00+00:00,2018-05-09T15:00:00+00:00,H1_EMA100,0.1385
2018-05-13T10:30:00+00:00,2018-05-13T11:00:00+00:00,H1_EMA100,-0.0294
2018-05-14T15:30:00+00:00,2018-05-14T23:00:00+00:00,H1_EMA100,-0.3011
2018-05-18T20:30:00+00:00,2018-05-18T21:00:00+00:00,H1_EMA100,0.1771
2018-05-26T09:00:00+00:00,2018-05-26T10:00:00+00:00,H1_EMA100,-0.1847
2018-05-29T12:30:00+00:00,2018-05-30T15:00:00+00:00,H1_EMA100,-0.1822
2018-05-31T06:00:00+00:00,2018-06-01T12:00:00+00:00,H1_EMA100,-0.6925
2018-06-02T04:00:00+00:00,2018-06-04T07:00:00+00:00,H1_EMA100,2.4155
2018-06-05T18:00:00+00:00,2018-06-06T16:30:00+00:00,SL,-1.0
2018-06-06T22:00:00+00:00,2018-06-08T11:00:00+00:00,H1_EMA100,-0.6056
2018-06-09T02:30:00+00:00,2018-06-09T09:00:00+00:00,H1_EMA100,-0.5572
2018-06-14T17:30:00+00:00,2018-06-14T18:00:00+00:00,H1_EMA100,0.2147
2018-06-16T21:00:00+00:00,2018-06-16T22:00:00+00:00,H1_EMA100,0.9001
2018-06-17T16:00:00+00:00,2018-06-17T17:00:00+00:00,H1_EMA100,-0.328
2018-06-20T15:00:00+00:00,2018-06-22T02:00:00+00:00,H1_EMA100,-0.656
2018-06-24T19:30:00+00:00,2018-06-24T20:00:00+00:00,H1_EMA100,-0.0235
2018-06-29T23:00:00+00:00,2018-07-05T19:00:00+00:00,H1_EMA100,0.6952
2018-07-06T17:00:00+00:00,2018-07-06T18:00:00+00:00,SL,-1.0
2018-07-07T23:30:00+00:00,2018-07-10T02:00:00+00:00,H1_EMA100,-0.5123
2018-07-21T17:30:00+00:00,2018-07-22T00:00:00+00:00,SL,-1.0
2018-07-25T23:00:00+00:00,2018-07-26T20:30:00+00:00,SL,-1.0
2018-07-27T18:00:00+00:00,2018-07-28T14:30:00+00:00,SL,-1.0
2018-07-29T14:00:00+00:00,2018-07-30T00:00:00+00:00,SL,-1.0
2018-07-30T02:00:00+00:00,2018-07-30T14:00:00+00:00,H1_EMA100,-0.5663
2018-08-06T02:30:00+00:00,2018-08-06T03:00:00+00:00,H1_EMA100,-0.1575
2018-08-07T09:00:00+00:00,2018-08-07T10:00:00+00:00,H1_EMA100,0.2729
2018-08-11T19:00:00+00:00,2018-08-11T20:00:00+00:00,H1_EMA100,-0.0141
2018-08-15T01:00:00+00:00,2018-08-15T02:00:00+00:00,H1_EMA100,0.293
2018-08-16T08:00:00+00:00,2018-08-16T12:30:00+00:00,SL,-1.0
2018-08-17T03:30:00+00:00,2018-08-18T13:30:00+00:00,SL,-1.0
2018-08-19T14:30:00+00:00,2018-08-19T15:00:00+00:00,SL,-1.0
2018-08-19T21:00:00+00:00,2018-08-20T10:00:00+00:00,H1_EMA100,-0.7352
2018-08-20T17:00:00+00:00,2018-08-20T21:30:00+00:00,SL,-1.0
2018-08-21T11:00:00+00:00,2018-08-21T13:00:00+00:00,SL,-1.0
2018-08-23T22:30:00+00:00,2018-08-24T14:30:00+00:00,SL,-1.0
2018-08-26T15:00:00+00:00,2018-08-26T16:30:00+00:00,SL,-1.0
2018-08-26T19:30:00+00:00,2018-08-30T12:00:00+00:00,H1_EMA100,2.9016
2018-08-31T05:00:00+00:00,2018-08-31T07:30:00+00:00,SL,-1.0
2018-08-31T16:00:00+00:00,2018-09-05T10:00:00+00:00,H1_EMA100,3.4122
2018-09-09T13:00:00+00:00,2018-09-09T14:00:00+00:00,H1_EMA100,-0.1928
2018-09-17T00:00:00+00:00,2018-09-17T04:00:00+00:00,SL,-1.0
2018-09-18T16:30:00+00:00,2018-09-18T17:00:00+00:00,H1_EMA100,-0.1589
2018-09-19T20:00:00+00:00,2018-09-24T10:00:00+00:00,H1_EMA100,0.5904
2018-09-27T12:30:00+00:00,2018-09-27T13:00:00+00:00,H1_EMA100,0.1075
2018-09-29T23:00:00+00:00,2018-09-30T00:00:00+00:00,SL,-1.0
2018-09-30T23:00:00+00:00,2018-10-01T11:00:00+00:00,SL,-1.0
2018-10-04T02:00:00+00:00,2018-10-05T08:00:00+00:00,H1_EMA100,-0.252
2018-10-08T00:00:00+00:00,2018-10-09T14:00:00+00:00,H1_EMA100,-0.2112
2018-10-15T06:00:00+00:00,2018-10-18T18:00:00+00:00,H1_EMA100,0.2824
2018-10-20T08:00:00+00:00,2018-10-20T18:00:00+00:00,H1_EMA100,-0.4502
