trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
1,EMA-Cross-H4F,28/08/2017,17:30,BTC,Long,TP,1.19,108h,91.22,H1_EMA100
2,EMA-Cross-H4F,29/09/2017,13:00,BTC,Long,SL,-1.0,0h,66.58,STRUCTURAL_SL
3,EMA-Cross-H4F,01/10/2017,20:00,BTC,Long,SL,-1.0,33h,7.0,STRUCTURAL_SL
4,EMA-Cross-H4F,04/10/2017,06:30,BTC,Long,SL,-1.0,1h,90.98,STRUCTURAL_SL
5,EMA-Cross-H4F,05/10/2017,13:00,BTC,Long,TP,13.13,239h,83.09,H1_EMA100
6,EMA-Cross-H4F,16/10/2017,01:30,BTC,Long,SL,-0.69,35h,187.48,H1_EMA100
7,EMA-Cross-H4F,19/10/2017,00:00,BTC,Long,SL,-1.0,0h,22.74,STRUCTURAL_SL
8,EMA-Cross-H4F,23/10/2017,02:00,BTC,Long,SL,-1.0,1h,60.02,STRUCTURAL_SL
9,EMA-Cross-H4F,25/10/2017,22:00,BTC,Long,TP,0.25,1h,118.02,H1_EMA100
10,EMA-Cross-H4F,29/10/2017,07:30,BTC,Long,TP,9.65,201h,142.01,H1_EMA100
11,EMA-Cross-H4F,08/11/2017,02:30,BTC,Long,SL,-1.0,16h,207.88,STRUCTURAL_SL
12,EMA-Cross-H4F,09/11/2017,02:30,BTC,Long,SL,-1.0,6h,245.54,STRUCTURAL_SL
13,EMA-Cross-H4F,10/11/2017,05:00,BTC,Long,SL,-1.0,0h,68.26,STRUCTURAL_SL
14,EMA-Cross-H4F,18/11/2017,13:00,BTC,Long,SL,-1.0,0h,44.0,STRUCTURAL_SL
15,EMA-Cross-H4F,18/11/2017,18:30,BTC,Long,TP,1.84,125h,147.02,H1_EMA100
16,EMA-Cross-H4F,24/11/2017,08:00,BTC,Long,SL,-1.0,1h,260.0,STRUCTURAL_SL
17,EMA-Cross-H4F,24/11/2017,19:00,BTC,Long,SL,-1.0,7h,51.16,STRUCTURAL_SL
18,EMA-Cross-H4F,30/11/2017,05:00,BTC,Long,SL,-1.0,0h,246.53,STRUCTURAL_SL
19,EMA-Cross-H4F,04/12/2017,22:30,BTC,Long,TP,17.53,114h,144.72,H1_EMA100
20,EMA-Cross-H4F,10/12/2017,15:30,BTC,Long,SL,-0.02,59h,1989.87,H1_EMA100
21,EMA-Cross-H4F,14/12/2017,12:00,BTC,Long,SL,-1.0,3h,258.52,STRUCTURAL_SL
22,EMA-Cross-H4F,18/12/2017,13:30,BTC,Long,SL,-1.0,0h,650.95,STRUCTURAL_SL
23,EMA-Cross-H4F,04/01/2018,20:30,BTC,Long,SL,-1.0,1h,280.94,STRUCTURAL_SL
24,EMA-Cross-H4F,18/02/2018,19:00,BTC,Long,SL,-1.0,3h,193.04,STRUCTURAL_SL
25,EMA-Cross-H4F,19/02/2018,09:00,BTC,Long,SL,-0.08,44h,398.71,H1_EMA100
26,EMA-Cross-H4F,01/03/2018,10:30,BTC,Long,TP,3.02,120h,88.0,H1_EMA100
27,EMA-Cross-H4F,17/04/2018,09:30,BTC,Long,SL,-1.0,0h,19.0,STRUCTURAL_SL
