trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
1,EMA-Cross-H4F,10/08/2017,07:00,BTC,Long,TP,21.38,127h,28.46,H1_EMA100
2,EMA-Cross-H4F,16/08/2017,15:30,BTC,Long,SL,-0.56,50h,212.86,H1_EMA100
3,EMA-Cross-H4F,20/08/2017,09:00,BTC,Long,SL,-0.19,1h,77.53,H1_EMA100
4,EMA-Cross-H4F,26/08/2017,22:00,BTC,Long,SL,-0.82,30h,58.71,H1_EMA100
5,EMA-Cross-H4F,28/08/2017,17:30,BTC,Long,TP,6.2,108h,51.39,H1_EMA100
6,EMA-Cross-H4F,29/09/2017,13:00,BTC,Long,TP,0.67,91h,114.52,H1_EMA100
7,EMA-Cross-H4F,04/10/2017,08:00,BTC,Long,SL,-1.0,0h,6.55,STRUCTURAL_SL
8,EMA-Cross-H4F,05/10/2017,13:30,BTC,Long,TP,15.61,238h,71.18,H1_EMA100
9,EMA-Cross-H4F,16/10/2017,01:30,BTC,Long,SL,-1.0,0h,10.49,STRUCTURAL_SL
10,EMA-Cross-H4F,17/10/2017,09:30,BTC,Long,SL,-1.0,1h,37.84,STRUCTURAL_SL
11,EMA-Cross-H4F,18/10/2017,23:30,BTC,Long,TP,2.11,77h,87.01,H1_EMA100
12,EMA-Cross-H4F,23/10/2017,02:00,BTC,Long,SL,-1.0,3h,89.13,STRUCTURAL_SL
13,EMA-Cross-H4F,25/10/2017,21:30,BTC,Long,SL,-0.1,1h,165.01,H1_EMA100
14,EMA-Cross-H4F,29/10/2017,06:30,BTC,Long,TP,45.47,202h,30.53,H1_EMA100
15,EMA-Cross-H4F,08/11/2017,02:30,BTC,Long,SL,-1.0,16h,220.79,STRUCTURAL_SL
16,EMA-Cross-H4F,18/11/2017,11:00,BTC,Long,TP,1.8,133h,134.59,H1_EMA100
17,EMA-Cross-H4F,24/11/2017,09:00,BTC,Long,SL,-1.0,16h,116.89,STRUCTURAL_SL
18,EMA-Cross-H4F,25/11/2017,08:00,BTC,Long,TP,11.86,108h,104.09,H1_EMA100
19,EMA-Cross-H4F,30/11/2017,05:00,BTC,Long,SL,-1.0,0h,205.51,STRUCTURAL_SL
