trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
1,EMS-r2-h4ema100,2017-08-28 19:30:00+0200,2017-09-02 08:00:00+0200,108.5,Long,TP,1.19,4364.81,4273.59,4473.35,91.22,2.0899,H1_EMA100
2,EMS-r2-h4ema100,2017-09-29 15:00:00+0200,2017-09-29 15:30:00+0200,0.5,Long,SL,-1.0,4247.11,4180.53,4180.53,66.58,1.5677,STRUCTURAL_SL
3,EMS-r2-h4ema100,2017-10-01 22:00:00+0200,2017-10-03 07:30:00+0200,33.5,Long,SL,-1.0,4307.0,4300.0,4300.0,7.0,0.1625,STRUCTURAL_SL
4,EMS-r2-h4ema100,2017-10-04 08:30:00+0200,2017-10-04 10:00:00+0200,1.5,Long,SL,-0.68,4371.99,4281.01,4310.01,90.98,2.081,H1_EMA100
5,EMS-r2-h4ema100,2017-10-05 15:00:00+0200,2017-10-07 10:00:00+0200,43.0,Long,TP,0.3,4309.14,4226.05,4334.0,83.09,1.9282,H1_EMA100
6,EMS-r2-h4ema100,2017-10-08 00:30:00+0200,2017-10-11 07:00:00+0200,78.5,Long,TP,6.44,4392.0,4337.05,4746.0,54.95,1.2511,H1_EMA100
7,EMS-r2-h4ema100,2017-10-11 12:00:00+0200,2017-10-11 14:30:00+0200,2.5,Long,SL,-1.0,4818.0,4773.01,4773.01,44.99,0.9338,STRUCTURAL_SL
8,EMS-r2-h4ema100,2017-10-11 18:30:00+0200,2017-10-15 11:00:00+0200,88.5,Long,TP,8.89,4840.0,4760.16,5550.01,79.84,1.6496,H1_EMA100
9,EMS-r2-h4ema100,2017-10-16 03:30:00+0200,2017-10-16 06:00:00+0200,2.5,Long,SL,-0.51,5696.09,5508.61,5600.05,187.48,3.2914,H1_EMA100
10,EMS-r2-h4ema100,2017-10-19 02:00:00+0200,2017-10-19 02:30:00+0200,0.5,Long,SL,-1.0,5513.0,5490.26,5490.26,22.74,0.4125,STRUCTURAL_SL
11,EMS-r2-h4ema100,2017-10-23 04:00:00+0200,2017-10-23 05:00:00+0200,1.0,Long,SL,-1.0,6000.02,5940.0,5940.0,60.02,1.0003,STRUCTURAL_SL
12,EMS-r2-h4ema100,2017-10-26 00:00:00+0200,2017-10-27 16:00:00+0200,40.0,Long,TP,1.06,5615.03,5497.01,5740.01,118.02,2.1019,H1_EMA100
13,EMS-r2-h4ema100,2017-10-29 08:30:00+0100,2017-11-04 03:00:00+0100,138.5,Long,TP,8.38,5790.02,5648.01,6980.06,142.01,2.4527,H1_EMA100
14,EMS-r2-h4ema100,2017-11-04 09:00:00+0100,2017-11-04 11:00:00+0100,2.0,Long,SL,-1.0,7174.99,7100.01,7100.01,74.98,1.045,STRUCTURAL_SL
15,EMS-r2-h4ema100,2017-11-04 14:30:00+0100,2017-11-05 23:00:00+0100,32.5,Long,TP,0.91,7209.99,7085.0,7324.28,124.99,1.7336,H1_EMA100
16,EMS-r2-h4ema100,2017-11-08 03:30:00+0100,2017-11-08 19:30:00+0100,16.0,Long,SL,-1.0,7259.99,7052.11,7052.11,207.88,2.8634,STRUCTURAL_SL
17,EMS-r2-h4ema100,2017-11-09 03:30:00+0100,2017-11-09 09:30:00+0100,6.0,Long,SL,-1.0,7375.55,7130.01,7130.01,245.54,3.3291,STRUCTURAL_SL
18,EMS-r2-h4ema100,2017-11-10 06:00:00+0100,2017-11-10 06:30:00+0100,0.5,Long,SL,-1.0,7259.9,7191.64,7191.64,68.26,0.9402,STRUCTURAL_SL
19,EMS-r2-h4ema100,2017-11-18 14:00:00+0100,2017-11-18 14:30:00+0100,0.5,Long,SL,-1.0,7704.01,7660.01,7660.01,44.0,0.5711,STRUCTURAL_SL
20,EMS-r2-h4ema100,2017-11-18 19:30:00+0100,2017-11-21 05:00:00+0100,57.5,Long,TP,0.98,7750.02,7603.0,7894.41,147.02,1.897,H1_EMA100
21,EMS-r2-h4ema100,2017-11-21 09:30:00+0100,2017-11-21 21:00:00+0100,11.5,Long,SL,-0.59,8180.69,8060.02,8109.83,120.67,1.4751,H1_EMA100
22,EMS-r2-h4ema100,2017-11-22 08:00:00+0100,2017-11-22 14:30:00+0100,6.5,Long,SL,-1.0,8215.47,8155.19,8155.19,60.28,0.7337,STRUCTURAL_SL
23,EMS-r2-h4ema100,2017-11-23 07:30:00+0100,2017-11-23 08:30:00+0100,1.0,Long,SL,-1.0,8238.01,8142.2,8142.2,95.81,1.163,STRUCTURAL_SL
24,EMS-r2-h4ema100,2017-11-24 09:00:00+0100,2017-11-24 10:00:00+0100,1.0,Long,SL,-1.0,8262.02,8002.02,8002.02,260.0,3.1469,STRUCTURAL_SL
25,EMS-r2-h4ema100,2017-11-24 20:00:00+0100,2017-11-25 01:00:00+0100,5.0,Long,SL,-0.47,8162.16,8111.0,8138.0,51.16,0.6268,H1_EMA100
26,EMS-r2-h4ema100,2017-11-30 06:00:00+0100,2017-11-30 06:30:00+0100,0.5,Long,SL,-1.0,10447.53,10201.0,10201.0,246.53,2.3597,STRUCTURAL_SL
27,EMS-r2-h4ema100,2017-12-04 23:30:00+0100,2017-12-09 11:00:00+0100,107.5,Long,TP,23.84,11449.92,11305.2,14899.96,144.72,1.2639,H1_EMA100
28,EMS-r2-h4ema100,2017-12-10 16:30:00+0100,2017-12-10 23:00:00+0100,6.5,Long,SL,-0.53,15347.85,13357.98,14294.5,1989.87,12.9651,H1_EMA100
29,EMS-r2-h4ema100,2017-12-12 19:30:00+0100,2017-12-13 02:30:00+0100,7.0,Long,SL,-1.0,16579.98,16000.0,16000.0,579.98,3.4981,STRUCTURAL_SL
30,EMS-r2-h4ema100,2017-12-14 13:00:00+0100,2017-12-14 16:00:00+0100,3.0,Long,SL,-1.0,16098.95,15840.43,15840.43,258.52,1.6058,STRUCTURAL_SL
31,EMS-r2-h4ema100,2017-12-18 14:30:00+0100,2017-12-18 15:00:00+0100,0.5,Long,SL,-1.0,19161.0,18510.05,18510.05,650.95,3.3973,STRUCTURAL_SL
32,EMS-r2-h4ema100,2018-01-04 21:30:00+0100,2018-01-04 23:00:00+0100,1.5,Long,SL,-1.0,15000.99,14720.05,14720.05,280.94,1.8728,STRUCTURAL_SL
33,EMS-r2-h4ema100,2018-02-18 20:00:00+0100,2018-02-18 23:30:00+0100,3.5,Long,SL,-1.0,10743.04,10550.0,10550.0,193.04,1.7969,STRUCTURAL_SL
34,EMS-r2-h4ema100,2018-02-19 10:00:00+0100,2018-02-21 01:00:00+0100,39.0,Long,TP,1.06,10779.71,10381.0,11200.99,398.71,3.6987,H1_EMA100
35,EMS-r2-h4ema100,2018-03-01 11:30:00+0100,2018-03-02 16:00:00+0100,28.5,Long,TP,1.2,10669.0,10581.0,10774.99,88.0,0.8248,H1_EMA100
36,EMS-r2-h4ema100,2018-03-04 21:30:00+0100,2018-03-06 02:00:00+0100,28.5,Long,SL,-0.45,11442.0,11135.0,11304.0,307.0,2.6831,H1_EMA100
37,EMS-r2-h4ema100,2018-04-17 11:30:00+0200,2018-04-17 12:00:00+0200,0.5,Long,SL,-1.0,8148.0,8129.0,8129.0,19.0,0.2332,STRUCTURAL_SL
38,EMS-r2-h4ema100,2018-04-18 11:30:00+0200,2018-04-18 17:00:00+0200,5.5,Long,SL,-0.53,8085.0,7868.0,7970.91,217.0,2.684,H1_EMA100
39,EMS-r2-h4ema100,2018-04-23 05:30:00+0200,2018-04-25 07:00:00+0200,49.5,Long,TP,3.83,8872.49,8787.01,9200.0,85.48,0.9634,H1_EMA100
40,EMS-r2-h4ema100,2018-04-26 23:30:00+0200,2018-04-27 22:00:00+0200,22.5,Long,SL,-0.23,9167.02,8834.02,9089.0,333.0,3.6326,H1_EMA100
41,EMS-r2-h4ema100,2018-04-28 11:30:00+0200,2018-04-29 11:00:00+0200,23.5,Long,TP,0.08,9270.0,9081.02,9285.47,188.98,2.0386,H1_EMA100
42,EMS-r2-h4ema100,2018-04-30 01:00:00+0200,2018-04-30 05:30:00+0200,4.5,Long,SL,-1.0,9407.72,9324.0,9324.0,83.72,0.8899,STRUCTURAL_SL
43,EMS-r2-h4ema100,2018-04-30 22:30:00+0200,2018-04-30 23:00:00+0200,0.5,Long,SL,-1.0,9323.56,9277.37,9277.37,46.19,0.4954,STRUCTURAL_SL
