trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
1,V3-locked,2017-08-28 19:30:00+0200,2017-09-02 08:00:00+0200,108.5,Long,TP,1.19,4364.81,4273.59,4473.35,91.22,2.0899,H1_EMA100
2,V3-locked,2017-09-29 15:00:00+0200,2017-09-29 15:30:00+0200,0.5,Long,SL,-1.0,4247.11,4180.53,4180.53,66.58,1.5677,STRUCTURAL_SL
3,V3-locked,2017-10-01 22:00:00+0200,2017-10-03 07:30:00+0200,33.5,Long,SL,-1.0,4307.0,4300.0,4300.0,7.0,0.1625,STRUCTURAL_SL
4,V3-locked,2017-10-04 08:30:00+0200,2017-10-04 10:00:00+0200,1.5,Long,SL,-1.0,4371.99,4281.01,4281.01,90.98,2.081,STRUCTURAL_SL
5,V3-locked,2017-10-05 15:00:00+0200,2017-10-15 14:00:00+0200,239.0,Long,TP,13.13,4309.14,4226.05,5400.01,83.09,1.9282,H1_EMA100
6,V3-locked,2017-10-16 03:30:00+0200,2017-10-17 15:00:00+0200,35.5,Long,SL,-0.69,5696.09,5508.61,5567.51,187.48,3.2914,H1_EMA100
7,V3-locked,2017-10-19 02:00:00+0200,2017-10-19 02:30:00+0200,0.5,Long,SL,-1.0,5513.0,5490.26,5490.26,22.74,0.4125,STRUCTURAL_SL
8,V3-locked,2017-10-23 04:00:00+0200,2017-10-23 05:00:00+0200,1.0,Long,SL,-1.0,6000.02,5940.0,5940.0,60.02,1.0003,STRUCTURAL_SL
9,V3-locked,2017-10-26 00:00:00+0200,2017-10-26 01:00:00+0200,1.0,Long,TP,0.25,5615.03,5497.01,5644.97,118.02,2.1019,H1_EMA100
10,V3-locked,2017-10-29 08:30:00+0100,2017-11-06 18:00:00+0100,201.5,Long,TP,9.65,5790.02,5648.01,7160.0,142.01,2.4527,H1_EMA100
11,V3-locked,2017-11-08 03:30:00+0100,2017-11-08 19:30:00+0100,16.0,Long,SL,-1.0,7259.99,7052.11,7052.11,207.88,2.8634,STRUCTURAL_SL
